id,day,task_text,correct_answer,explanation_ru,explanation_pl,section,topic,format,type,task_id,is_free,createdAt,updatedAt
24,24,To zadanie jest ___ ze wszystkich. A) proste B) prostsze C) najprostsze D) prosto,najprostsze,Stopień najwyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,24,1,2025-12-28T17:04:05.608Z,2025-12-28T17:11:48.511Z
25,25,On mówi ___ niż brat. A) głośno B) głośniej C) najgłośniej D) głośny,głośniej,Stopień wyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,25,1,2025-12-28T17:04:05.609Z,2025-12-28T17:11:49.450Z
26,26,To był ___ dzień tygodnia. A) długi B) dłuższy C) najdłuższy D) długo,najdłuższy,Stopień najwyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,26,1,2025-12-28T17:04:05.610Z,2025-12-28T17:11:50.895Z
27,27,Ten film był ___ niż myślałem. A) ciekawy B) ciekawszy C) najciekawszy D) ciekawie,ciekawszy,Porównanie.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,27,0,2025-12-28T17:04:05.610Z,2025-12-28T17:11:51.998Z
28,28,To ___ sposób rozwiązania problemu. A) dobry B) lepszy C) najlepszy D) dobrze,najlepszy,Stopień najwyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,28,0,2025-12-28T17:04:05.611Z,2025-12-28T17:11:53.259Z
29,29,Ona biega ___ niż ja. A) szybko B) szybciej C) najszybciej D) szybka,szybciej,Stopień wyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,29,0,2025-12-28T17:04:05.612Z,2025-12-28T17:11:54.378Z
30,30,To mieszkanie jest ___ w budynku. A) tanie B) tańsze C) najtańsze D) tanio,najtańsze,Stopień najwyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,30,0,2025-12-28T17:04:05.613Z,2025-12-28T17:11:55.556Z
31,31,Czuję się dziś ___ niż wczoraj. A) źle B) gorzej C) najgorzej D) zły,gorzej,Forma nieregularna.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,31,0,2025-12-28T17:04:05.614Z,2025-12-28T17:11:56.149Z
32,32,On pracuje ___ ze wszystkich. A) dokładnie B) dokładniej C) najdokładniej D) dokładny,najdokładniej,Stopień najwyższy przysłówka.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,32,0,2025-12-28T17:04:05.615Z,2025-12-28T17:11:56.715Z
33,33,To zadanie jest ___ niż poprzednie. A) łatwe B) łatwiejsze C) najłatwiejsze D) łatwo,łatwiejsze,Stopień wyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,33,0,2025-12-28T17:04:05.616Z,2025-12-28T17:11:57.480Z
34,34,To był ___ moment w jego życiu. A) ważny B) ważniejszy C) najważniejszy D) ważnie,najważniejszy,Stopień najwyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,34,0,2025-12-28T17:04:05.617Z,2025-12-28T17:11:58.190Z
35,35,On mówi ___ po polsku niż rok temu. A) dobrze B) lepiej C) najlepiej D) dobry,lepiej,Forma nieregularna.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,35,0,2025-12-28T17:04:05.618Z,2025-12-28T17:11:59.420Z
36,36,To było ___ spotkanie miesiąca. A) długie B) dłuższe C) najdłuższe D) długo,najdłuższe,Stopień najwyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,36,0,2025-12-28T17:04:05.618Z,2025-12-28T17:12:00.203Z
37,37,Ten komputer działa ___. A) szybko B) szybciej C) najszybciej D) szybki,szybciej,Stopień wyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,37,0,2025-12-28T17:04:05.620Z,2025-12-28T17:12:01.584Z
38,38,"To ___ książka, jaką czytałem. A) interesująca B) bardziej interesująca C) najbardziej interesująca D) interesująco",najbardziej interesująca,Opisowy stopień najwyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,38,0,2025-12-28T17:04:05.621Z,2025-12-28T17:12:02.856Z
39,39,On zachował się ___. A) spokojnie B) spokojniej C) najspokojniej D) spokojny,najspokojniej,Stopień najwyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,39,0,2025-12-28T17:04:05.622Z,2025-12-28T17:12:03.882Z
40,40,To rozwiązanie jest ___ dla użytkownika. A) wygodne B) wygodniejsze C) najwygodniejsze D) wygodnie,wygodniejsze,Stopień wyższy.,,POPRAWNOŚĆ GRAMATYCZNA,Stopniowanie przymiotnika i przysłówka,single_choice,POPRAWNOŚĆ GRAMATYCZNA,40,0,2025-12-28T17:04:05.622Z,2025-12-28T17:12:05.559Z
41,41,Idę ___ sklepu. A) do B) na C) w D) z,do,Iść do + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,41,1,2025-12-28T18:01:34.742Z,2025-12-28T18:02:44.002Z
42,42,Jestem ___ pracy od rana. A) w B) na C) do D) z,w,Być w + miejscownik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,42,1,2025-12-28T18:01:34.745Z,2025-12-28T18:02:44.656Z
43,43,Wracam ___ domu późno. A) do B) na C) w D) z,do,Wracać do + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,43,1,2025-12-28T18:01:34.750Z,2025-12-28T18:02:46.711Z
44,44,Spotkajmy się ___ kawie. A) na B) przy C) w D) z,na,Spotkać się na + miejscownik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,44,1,2025-12-28T18:01:34.751Z,2025-12-28T18:02:47.417Z
45,45,Mieszkam ___ Warszawie. A) na B) w C) do D) z,w,Mieszkać w + miejscownik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,45,1,2025-12-28T18:01:34.752Z,2025-12-28T18:02:48.058Z
46,46,To prezent ___ mamy. A) dla B) do C) od D) z,dla,Dla + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,46,0,2025-12-28T18:01:34.753Z,2025-12-28T18:02:48.771Z
47,47,Nie mogę żyć ___ ciebie. A) bez B) do C) z D) na,bez,Bez + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,47,0,2025-12-28T18:01:34.754Z,2025-12-28T18:02:49.914Z
48,48,Pojechał ___ pracy autobusem. A) do B) na C) w D) z,do,Jechać do + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,48,0,2025-12-28T18:01:34.755Z,2025-12-28T18:02:51.898Z
49,49,Jestem zmęczony ___ pracy. A) po B) od C) z D) na,po,Po + miejscownik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,49,0,2025-12-28T18:01:34.756Z,2025-12-28T18:02:53.704Z
50,50,Książka leży ___ stole. A) na B) w C) pod D) z,na,Na + miejscownik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,50,0,2025-12-28T18:01:34.757Z,2025-12-28T18:02:55.620Z
51,51,Pracuję ___ domu. A) w B) na C) do D) z,w,W + miejscownik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,51,0,2025-12-28T18:01:34.759Z,2025-12-28T18:02:56.350Z
52,52,Idziemy ___ kino. A) do B) na C) w D) z,do,Iść do + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,52,0,2025-12-28T18:01:34.760Z,2025-12-28T18:02:57.077Z
53,53,On siedzi ___ mnie. A) obok B) przy C) na D) z,obok,Obok + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,53,0,2025-12-28T18:01:34.761Z,2025-12-28T18:02:58.567Z
54,54,Samochód stoi ___ domem. A) przed B) na C) w D) z,przed,Przed + narzędnik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,54,0,2025-12-28T18:01:34.762Z,2025-12-28T18:02:59.404Z
55,55,Rozmawiam ___ nauczycielem. A) z B) do C) na D) o,z,Z + narzędnik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,55,0,2025-12-28T18:01:34.763Z,2025-12-28T18:03:00.049Z
56,56,Jestem ___ kolegą. A) z B) do C) na D) o,z,Z + narzędnik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,56,0,2025-12-28T18:01:34.764Z,2025-12-28T18:03:01.043Z
57,57,Idziemy ___ spacer. A) na B) do C) w D) z,na,Iść na + biernik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,57,0,2025-12-28T18:01:34.765Z,2025-12-28T18:03:01.883Z
58,58,To zależy ___ pogody. A) od B) na C) o D) z,od,Od + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,58,0,2025-12-28T18:01:34.767Z,2025-12-28T18:03:03.701Z
59,59,On jest ___ domu. A) w B) na C) do D) z,w,Być w + miejscownik.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,59,0,2025-12-28T18:01:34.768Z,2025-12-28T18:03:05.499Z
60,60,Wyszedł ___ pokoju. A) z B) do C) na D) w,z,Z + dopełniacz.,,POPRAWNOŚĆ GRAMATYCZNA,Przyimki,single_choice,POPRAWNOŚĆ GRAMATYCZNA,60,0,2025-12-28T18:01:34.769Z,2025-12-28T18:03:06.943Z
61,61,Wczoraj on ___ w domu cały dzień. A) był B) była C) byli D) były,był,Czas przeszły – rodzaj męski (on).,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,61,1,2025-12-28T18:13:17.584Z,2025-12-28T18:14:32.671Z
62,62,Wczoraj ona ___ w domu cały dzień. A) był B) była C) byli D) były,była,Czas przeszły – rodzaj żeński (ona).,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,62,1,2025-12-28T18:13:17.585Z,2025-12-28T18:14:34.463Z
63,63,Wczoraj oni ___ w kinie. A) byli B) były C) była D) był,byli,Czas przeszły – liczba mnoga męskoosobowa (oni).,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,63,1,2025-12-28T18:13:17.586Z,2025-12-28T18:14:35.267Z
64,64,Wczoraj one ___ w kinie. A) były B) byli C) była D) był,były,Czas przeszły – liczba mnoga niemęskoosobowa (one).,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,64,1,2025-12-28T18:13:17.587Z,2025-12-28T18:14:36.003Z
65,65,Wczoraj on ___ list do szefa. A) napisał B) napisała C) napisali D) napisały,napisał,Rodzaj męski w czasie przeszłym.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,65,1,2025-12-28T18:13:17.588Z,2025-12-28T18:14:36.883Z
66,66,Wczoraj ona ___ list do szefa. A) napisała B) napisał C) napisali D) napisały,napisała,Rodzaj żeński w czasie przeszłym.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,66,0,2025-12-28T18:13:17.589Z,2025-12-28T18:14:37.765Z
67,67,Wczoraj ja (mężczyzna) ___ ten film. A) oglądałem B) oglądałam C) oglądali D) oglądały,oglądałem,Ja (mężczyzna) – forma czasu przeszłego.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,67,0,2025-12-28T18:13:17.590Z,2025-12-28T18:14:44.358Z
68,68,Wczoraj ja (kobieta) ___ ten film. A) oglądałam B) oglądałem C) oglądali D) oglądały,oglądałam,Ja (kobieta) – forma czasu przeszłego.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,68,0,2025-12-28T18:13:17.590Z,2025-12-28T18:14:45.863Z
69,69,Wczoraj oni ___ bardzo wcześnie. A) wstali B) wstały C) wstał D) wstała,wstali,Oni – męskoosobowe.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,69,0,2025-12-28T18:13:17.591Z,2025-12-28T18:14:47.821Z
70,70,Wczoraj one ___ bardzo wcześnie. A) wstały B) wstali C) wstał D) wstała,wstały,One – niemęskoosobowe.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,70,0,2025-12-28T18:13:17.592Z,2025-12-28T18:14:49.363Z
71,71,Wczoraj on ___ maila rano. A) wysłał B) wysłała C) wysłali D) wysłały,wysłał,Rodzaj męski.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,71,0,2025-12-28T18:13:17.594Z,2025-12-28T18:14:50.298Z
72,72,Wczoraj ona ___ maila rano. A) wysłała B) wysłał C) wysłali D) wysłały,wysłała,Rodzaj żeński.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,72,0,2025-12-28T18:13:17.595Z,2025-12-28T18:14:50.988Z
73,73,Wczoraj oni ___ projekt na czas. A) skończyli B) skończyły C) skończył D) skończyła,skończyli,Oni – męskoosobowe.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,73,0,2025-12-28T18:13:17.596Z,2025-12-28T18:14:52.970Z
74,74,Wczoraj one ___ projekt na czas. A) skończyły B) skończyli C) skończył D) skończyła,skończyły,One – niemęskoosobowe.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,74,0,2025-12-28T18:13:17.596Z,2025-12-28T18:14:53.836Z
75,75,Wczoraj on ___ obiad w domu. A) gotował B) gotowała C) gotowali D) gotowały,gotował,Rodzaj męski.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,75,0,2025-12-28T18:13:17.597Z,2025-12-28T18:14:54.811Z
76,76,Wczoraj ona ___ obiad w domu. A) gotowała B) gotował C) gotowali D) gotowały,gotowała,Rodzaj żeński.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,76,0,2025-12-28T18:13:17.598Z,2025-12-28T18:14:55.659Z
77,77,Wczoraj oni ___ do domu późno. A) wrócili B) wróciły C) wrócił D) wróciła,wrócili,Oni – męskoosobowe.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,77,0,2025-12-28T18:13:17.599Z,2025-12-28T18:14:56.360Z
78,78,Wczoraj one ___ do domu późno. A) wróciły B) wrócili C) wrócił D) wróciła,wróciły,One – niemęskoosobowe.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,78,0,2025-12-28T18:13:17.600Z,2025-12-28T18:14:57.157Z
79,79,Wczoraj on ___ w pracy do późna. A) pracował B) pracowała C) pracowali D) pracowały,pracował,Rodzaj męski.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,79,0,2025-12-28T18:13:17.600Z,2025-12-28T18:14:59.064Z
80,80,Wczoraj ona ___ w pracy do późna. A) pracowała B) pracował C) pracowali D) pracowały,pracowała,Rodzaj żeński.,,POPRAWNOŚĆ GRAMATYCZNA,Czas przeszły,single_choice,POPRAWNOŚĆ GRAMATYCZNA,80,0,2025-12-28T18:13:17.601Z,2025-12-28T18:15:01.714Z
81,81,"___ ciszej, proszę! A) mów B) mówisz C) mówi D) mówią",mów,Tryb rozkazujący (2 os. l. poj.).,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,81,1,2025-12-28T18:13:56.754Z,2025-12-28T18:15:40.168Z
82,82,___ to teraz. A) zrób B) robisz C) zrobi D) robią,zrób,Forma rozkazująca.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,82,1,2025-12-28T18:13:56.755Z,2025-12-28T18:15:42.224Z
83,83,___ ostrożnie! A) jedź B) jedziesz C) jechał D) jadą,jedź,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,83,1,2025-12-28T18:13:56.756Z,2025-12-28T18:15:43.156Z
84,84,___ mi pomóc. A) pomóż B) pomagasz C) pomaga D) pomogą,pomóż,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,84,1,2025-12-28T18:13:56.757Z,2025-12-28T18:15:44.651Z
85,85,___ tego jeszcze raz. A) spróbuj B) próbujesz C) próbuje D) próbowali,spróbuj,Rozkaz – poprawna forma.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,85,1,2025-12-28T18:13:56.757Z,2025-12-28T18:15:45.457Z
86,86,___ spokojnie chwilę. A) czekaj B) czekasz C) czeka D) czekali,czekaj,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,86,0,2025-12-28T18:13:56.758Z,2025-12-28T18:15:46.429Z
87,87,___ bliżej. A) podejdź B) podchodzi C) podszedł D) podejdą,podejdź,Tryb rozkazujący.,,POPRAWNOŚĆ GRAMATYCZNA,Tryb rozkazujący,single_choice,POPRAWNOŚĆ GRAMATYCZNA,87,0,2025-12-28T18:13:56.760Z,2025-12-28T18:15:47.173Z
