id,topic,difficulty,question,options,correctAnswer,explanationRu,explanationPl
"B1_LICZEBNIKI_017","Liczebniki główne — ""dwoje"" odmiana w celowniku","high","Dałem klucze _______ sąsiadom — mężowi i żonie.","A) dwoje | B) dwóm | C) dwojgu | D) dwom","C","""Mąż i żona"" — смешанная группа, требует собирательного числительного ""dwoje"". После ""dałem"" (кому?) нужен celownik. Форма ""dwoje"" в celowniku — dwojgu.  🔑 Odmiana dwoje: • M: dwoje • D: dwojga • C: dwojgu • B: dwoje / dwojga • N: dwojgiem • Ms: dwojgu  ❌ Почему не A: ""dwoje"" — mianownik, но нужен celownik. ❌ Почему не B: ""dwóm"" — celownik от ""dwa/dwie"", не от ""dwoje"". ❌ Почему не D: ""dwom"" — неправильная форма.","""Mąż i żona"" to grupa mieszana, wymaga liczebnika zbiorowego ""dwoje"". Po ""dałem"" (komu?) potrzebny celownik. Forma ""dwoje"" w celowniku to dwojgu.  🔑 Odmiana dwoje: • M: dwoje • D: dwojga • C: dwojgu • B: dwoje / dwojga • N: dwojgiem • Ms: dwojgu  ❌ Dlaczego nie A: ""dwoje"" to mianownik. ❌ Dlaczego nie B: ""dwóm"" to celownik od ""dwa/dwie"", nie od ""dwoje"". ❌ Dlaczego nie D: ""dwom"" — forma niepoprawna."
"B1_LICZEBNIKI_018","Liczebniki porządkowe — rok w dopełniaczu","high","Mieszkam w Polsce od _______ roku.","A) dwa tysiące dziesiątego | B) dwutysięcznego dziesiątego | C) dwa tysiące dziesiąty | D) dwutysięcznym dziesiątym","A","После ""od"" нужен dopełniacz. Год выражается порядковым числительным. ""2010 rok"" в dopełniaczu — dwa tysiące dziesiątego roku.  🔑 Правило для годов: • Mianownik: rok dwa tysiące dziesiąty • Dopełniacz: (od) dwa tysiące dziesiątego (roku) • Miejscownik: (w) dwa tysiące dziesiątym (roku)  Обратите внимание: ""dwa tysiące"" не склоняется в составе года!  ❌ Почему не B: ""dwutysięcznego"" — неправильная форма года. ❌ Почему не C: ""dwa tysiące dziesiąty"" — mianownik, но после ""od"" нужен dopełniacz. ❌ Почему не D: ""dwutysięcznym dziesiątym"" — miejscownik, но после ""od"" нужен dopełniacz.","Po ""od"" wymagany jest dopełniacz. Rok wyrażamy liczebnikiem porządkowym. ""2010 rok"" w dopełniaczu to dwa tysiące dziesiątego roku.  🔑 Reguła dla lat: • M: rok dwa tysiące dziesiąty • D: (od) dwa tysiące dziesiątego (roku) • Ms: (w) dwa tysiące dziesiątym (roku)  Uwaga: ""dwa tysiące"" nie odmienia się w składzie roku!  ❌ Dlaczego nie B: ""dwutysięcznego"" — błędna forma roku. ❌ Dlaczego nie C: ""dwa tysiące dziesiąty"" to mianownik. ❌ Dlaczego nie D: ""dwutysięcznym dziesiątym"" to miejscownik — po ""od"" potrzebny dopełniacz."
"B1_LICZEBNIKI_019","Liczebniki główne — ""pięćset"" vs ""pięciuset"" + odmiana","high","Do egzaminu przystąpiło około _______ osób.","A) pięćset | B) pięciuset | C) pięcioma setkami | D) pięćsetów","B","После ""około"" нужен dopełniacz. Форма ""pięćset"" (500) в dopełniaczu — pięciuset.  🔑 Odmiana pięćset: • M: pięćset • D: pięciuset • C: pięciuset • B: pięćset • N: pięciuset / pięcioma setkami • Ms: pięciuset  ❌ Почему не A: ""pięćset"" — mianownik, но после ""około"" нужен dopełniacz. ❌ Почему не C: ""pięcioma setkami"" — narzędnik, здесь неуместен. ❌ Почему не D: ""pięćsetów"" — неправильная форма, не существует.","Po ""około"" wymagany jest dopełniacz. Forma ""pięćset"" (500) w dopełniaczu to pięciuset.  🔑 Odmiana pięćset: • M: pięćset • D: pięciuset • C: pięciuset • B: pięćset • N: pięciuset / pięcioma setkami • Ms: pięciuset  ❌ Dlaczego nie A: ""pięćset"" to mianownik — po ""około"" potrzebny dopełniacz. ❌ Dlaczego nie C: ""pięcioma setkami"" to narzędnik. ❌ Dlaczego nie D: ""pięćsetów"" — forma niepoprawna."
"B1_LICZEBNIKI_020","Liczebniki ułamkowe — ""połowa"" odmiana","high","Przeczytałem już _______ tej książki.","A) połowa | B) połowę | C) połowy | D) półtora","B","""Przeczytać"" требует biernika (co?). ""Połowa"" (половина) в bierniku — połowę.  🔑 Odmiana połowa: • M: połowa • D: połowy • C: połowie • B: połowę • N: połową • Ms: połowie  ❌ Почему не A: ""połowa"" — mianownik, но после ""przeczytałem"" нужен biernik. ❌ Почему не C: ""połowy"" — dopełniacz, не biernik. ❌ Почему не D: ""półtora"" — полтора, не половина.","""Przeczytać"" wymaga biernika (co?). ""Połowa"" w bierniku to połowę.  🔑 Odmiana połowa: • M: połowa • D: połowy • C: połowie • B: połowę • N: połową • Ms: połowie  ❌ Dlaczego nie A: ""połowa"" to mianownik — po ""przeczytałem"" potrzebny biernik. ❌ Dlaczego nie C: ""połowy"" to dopełniacz. ❌ Dlaczego nie D: ""półtora"" to półtora, nie połowa."
"B1_LICZEBNIKI_021","Liczebniki ułamkowe — jedna trzecia, dwie piąte","high","_______ uczniów w naszej klasie to dziewczyny.","A) Jedna trzecia | B) Jednej trzeciej | C) Jedną trzecią | D) Jeden trzeci","A","Дробные числительные в роли подлежащего стоят в mianowniku. ""Jedna trzecia"" (одна третья) — это mianownik.  🔑 Odmiana jedna trzecia: • M: jedna trzecia • D: jednej trzeciej • C: jednej trzeciej • B: jedną trzecią • N: jedną trzecią • Ms: jednej trzeciej  Здесь дробь — подлежащее (""Jedna trzecia uczniów TO dziewczyny""), поэтому mianownik.  ❌ Почему не B: ""jednej trzeciej"" — dopełniacz, но подлежащее требует mianownika. ❌ Почему не C: ""jedną trzecią"" — biernik/narzędnik. ❌ Почему не D: ""jeden trzeci"" — неправильная форма дроби (смешение родов: ""jeden"" м.р. + ""trzeci"" м.р., но дробь — ж.р.).","Ułamki w roli podmiotu stoją w mianowniku. ""Jedna trzecia"" to mianownik.  🔑 Odmiana jedna trzecia: • M: jedna trzecia • D: jednej trzeciej • C: jednej trzeciej • B: jedną trzecią • N: jedną trzecią • Ms: jednej trzeciej  Tu ułamek to podmiot (""Jedna trzecia uczniów TO dziewczyny""), więc mianownik.  ❌ Dlaczego nie B: ""jednej trzeciej"" to dopełniacz. ❌ Dlaczego nie C: ""jedną trzecią"" to biernik/narzędnik. ❌ Dlaczego nie D: ""jeden trzeci"" — błędna forma ułamka (mieszanie rodzajów)."
"B1_LICZEBNIKI_022","Liczebniki nieokreślone — wielu vs wiele + męskoosobowe","high","Na konferencji było _______ profesorów z całego świata.","A) wiele | B) wielu | C) wieloma | D) wielkich","B","""Profesorowie"" — это męskoosobowe (мужской личный род). Для męskoosobowych используется форма wielu (не ""wiele""!).  🔑 Wiele vs wielu: • wiele — dla niemęskoosobowych: wiele książek, wiele problemów, wiele kobiet • wielu — dla męskoosobowych: wielu mężczyzn, wielu profesorów, wielu lekarzy  ❌ Почему не A: ""wiele"" — для niemęskoosobowych, но ""profesorowie"" — męskoosobowe. ❌ Почему не C: ""wieloma"" — narzędnik, здесь неуместен (нет предлога ""z""). ❌ Почему не D: ""wielkich"" — прилагательное ""wielki"" в dopełniaczu, не числительное.","""Profesorowie"" to męskoosobowe. Dla męskoosobowych używamy formy wielu (nie ""wiele""!).  🔑 Wiele vs wielu: • wiele — dla niemęskoosobowych: wiele spraw, wiele pytań • wielu — dla męskoosobowych: wielu ludzi, wielu specjalistów  ❌ Dlaczego nie A: ""wiele"" dla niemęskoosobowych — ""profesorowie"" to męskoosobowe. ❌ Dlaczego nie C: ""wieloma"" to narzędnik — tu niepotrzebny. ❌ Dlaczego nie D: ""wielkich"" to przymiotnik, nie liczebnik."
"B1_LICZEBNIKI_023","Liczebniki nieokreślone — niewielu vs niewiele + męskoosobowe","high","_______ studentów zdało ten trudny egzamin.","A) Niewiele | B) Niewielu | C) Niewielka | D) Nieliczni","B","""Studenci"" — это męskoosobowe (мужской личный род). Для męskoosobowych используется форма niewielu (не ""niewiele""!).  🔑 Niewiele vs niewielu: • niewiele — dla niemęskoosobowych: niewiele książek, niewiele czasu • niewielu — dla męskoosobowych: niewielu studentów, niewielu chłopców  ❌ Почему не A: ""niewiele"" — для niemęskoosobowych, но ""studenci"" — męskoosobowe. ❌ Почему не C: ""niewielka"" — прилагательное ж.р. (""niewielka grupa""), не числительное, не сочетается с ""studentów zdało"". ❌ Почему не D: ""nieliczni"" — прилагательное, требует согласования: ""nieliczni studenci zdali"" (не ""studentów zdało"").","""Studenci"" to męskoosobowe. Dla męskoosobowych używamy formy niewielu (nie ""niewiele""!).  🔑 Niewiele vs niewielu: • niewiele — dla niemęskoosobowych: niewiele rzeczy • niewielu — dla męskoosobowych: niewielu kolegów  ❌ Dlaczego nie A: ""niewiele"" dla niemęskoosobowych — ""studenci"" to męskoosobowe. ❌ Dlaczego nie C: ""niewielka"" to przymiotnik r. żeńskiego — nie pasuje do ""studentów zdało"". ❌ Dlaczego nie D: ""nieliczni"" to przymiotnik — wymaga: ""nieliczni studenci zdali"" (nie ""studentów zdało"")."
"B1_LICZEBNIKI_024","Liczebniki główne — tysiąc + setki + dziesiątki","high","W bibliotece jest _______ książek.","A) tysiąc dwieście trzydzieści pięć | B) tysiąca dwustu trzydziestu pięciu | C) tysiącem dwustu trzydziestu pięciu | D) tysiące dwieście trzydzieści pięć","A","В этой конструкции числительное стоит в базовой форме (mianownik), а существительное после числительного 5+ — в dopełniaczu мн.ч. (""książek"").  🔑 Правило для составных числительных: • В mianowniku все части в mianowniku: tysiąc + dwieście + trzydzieści + pięć • Существительное после 5+ всегда в dopełniaczu мн.ч.: książek, osób, złotych • В dopełniaczu все части в dopełniaczu: tysiąca + dwustu + trzydziestu + pięciu  ❌ Почему не B: ""tysiąca dwustu..."" — dopełniacz, но здесь нужен mianownik. ❌ Почему не C: ""tysiącem dwustu..."" — смешение падежей (narzędnik + dopełniacz). ❌ Почему не D: ""tysiące"" — множественное число (2-4 tysiące), но здесь 1 tysiąc.","W tej konstrukcji liczebnik stoi w formie bazowej (mianownik), a rzeczownik po liczebniku 5+ — w dopełniaczu l.mn. (""książek"").  🔑 Reguła dla liczebników złożonych: • W mianowniku wszystkie części w mianowniku: tysiąc + dwieście + trzydzieści + pięć • Rzeczownik po 5+ zawsze w dopełniaczu l.mn.: książek, osób, złotych • W dopełniaczu wszystkie części w dopełniaczu: tysiąca + dwustu + trzydziestu + pięciu  ❌ Dlaczego nie B: ""tysiąca dwustu..."" to dopełniacz. ❌ Dlaczego nie C: ""tysiącem dwustu..."" — mieszanie przypadków. ❌ Dlaczego nie D: ""tysiące"" to l.mn. (2-4 tysiące), tu 1 tysiąc."
"B1_LICZEBNIKI_025","Liczebniki wielokrotne — trzykrotnie vs potrójnie vs trzy razy","high","Sprawdziłem ten dokument _______ i nie znalazłem żadnych błędów.","A) trzykrotnie | B) potrójnie | C) trzecio | D) trojakie","A","Для выражения ""три раза"" (количество повторений действия) используется trzykrotnie.  🔑 Różnica: • trzykrotnie — три раза (повторение действия): sprawdziłem trzykrotnie • potrójnie — тройным образом, в тройном размере: potrójnie zabezpieczony (защищённый тремя способами)  ❌ Почему не B: ""potrójnie"" — означает ""тройным образом/в тройном размере"", не ""три раза"". ❌ Почему не C: ""trzecio"" — неправильная форма, не существует. ❌ Почему не D: ""trojakie"" — прилагательное ""троякий"", не наречие.","Dla wyrażenia ""trzy razy"" (powtórzenie czynności) używamy trzykrotnie.  🔑 Różnica: • trzykrotnie — trzy razy (powtórzenie): przeczytałem trzykrotnie • potrójnie — w potrójny sposób: potrójnie wzmocniony  ❌ Dlaczego nie B: ""potrójnie"" oznacza ""w potrójny sposób"", nie ""trzy razy"". ❌ Dlaczego nie C: ""trzecio"" — forma niepoprawna. ❌ Dlaczego nie D: ""trojakie"" to przymiotnik, nie przysłówek."
"B1_LICZEBNIKI_026","Liczebniki porządkowe — ""setny"" vs ""sto"" w kontekście","high","To już _______ raz, kiedy ci to mówię!","A) setny | B) sto | C) setnego | D) stówy","A","Здесь нужно порядковое числительное ""сотый"" (который по счёту), не количественное ""сто"".  🔑 Główne vs porządkowe: • sto (количественное) — sto złotych, sto osób • setny (порядковое) — setny raz, setna rocznica  ""Który raz?"" → setny (порядковое) ""Ile razy?"" → sto (количественное)  ❌ Почему не B: ""sto"" — количественное, но вопрос ""который раз?"" требует порядкового. ❌ Почему не C: ""setnego"" — dopełniacz порядкового, но здесь нужен mianownik. ❌ Почему не D: ""stówy"" — разговорное существительное, означающее ""сотня злотых"" (100 zł), не подходит в контексте ""raz"".","Tu potrzebny liczebnik porządkowy ""setny"" (który z kolei), nie główny ""sto"".  🔑 Główne vs porządkowe: • sto (główny) — sto książek • setny (porządkowy) — setny raz, setna strona  ""Który raz?"" → setny (porządkowy) ""Ile razy?"" → sto (główny)  ❌ Dlaczego nie B: ""sto"" to główny — pytanie ""który raz?"" wymaga porządkowego. ❌ Dlaczego nie C: ""setnego"" to dopełniacz — tu potrzebny mianownik. ❌ Dlaczego nie D: ""stówy"" to potoczny rzeczownik oznaczający ""stuzłotówkę"" — nie pasuje do kontekstu ""raz""."
"B1_LICZEBNIKI_027","Liczebniki główne — ""czworo"" vs ""cztery"" vs ""czterech""","high","W rodzinie Kowalskich jest _______ rodzeństwa.","A) cztery | B) czterech | C) czworo | D) czwarty","C","""Rodzeństwo"" (братья и сёстры) требует собирательного числительного: dwoje, troje, czworo, pięcioro...  🔑 Правило для odzeństwo: • Rodzeństwo — это собирательное существительное (как dzieci) • Требует собирательных числительных: czworo rodzeństwa  ❌ Почему не A: ""cztery"" — для niemęskoosobowych: cztery książki. ❌ Почему не B: ""czterech"" — для męskoosobowych: czterech braci. ❌ Почему не D: ""czwarty"" — порядковое числительное (четвёртый).","""Rodzeństwo"" wymaga liczebnika zbiorowego: dwoje, troje, czworo, pięcioro...  🔑 Reguła dla odzeństwo: • Rodzeństwo to rzeczownik zbiorowy (jak dzieci) • Wymaga liczebników zbiorowych: czworo rodzeństwa  ❌ Dlaczego nie A: ""cztery"" dla niemęskoosobowych: cztery domy. ❌ Dlaczego nie B: ""czterech"" dla męskoosobowych: czterech kolegów. ❌ Dlaczego nie D: ""czwarty"" to liczebnik porządkowy."
"B1_LICZEBNIKI_028","Liczebniki główne — ""oba"" odmiana w dopełniaczu","high","Nie widziałem _______ filmów, o których mówisz.","A) obu | B) oba | C) obydwa | D) obydwóch","A","После отрицания ""nie widziałem"" нужен dopełniacz. ""Filmy"" — niemęskoosobowe. Форма ""oba"" в dopełniaczu — obu.  🔑 Odmiana ""oba"" (niemęskoosobowe): • M: oba (filmy) • D: obu (filmów) • C: obu (filmom) • B: oba (filmy) • N: oboma / obu (filmami) • Ms: obu (filmach)  ❌ Почему не B: ""oba"" — mianownik/biernik, но после ""nie widziałem"" нужен dopełniacz. ❌ Почему не C: ""obydwa"" — mianownik/biernik, синоним ""oba"". ❌ Почему не D: ""obydwóch"" — форма, употребляемая с męskoosobowymi (obydwóch mężczyzn), но ""filmy"" — niemęskoosobowe, поэтому нужна форма ""obu/obydwu"".","Po przeczeniu ""nie widziałem"" wymagany jest dopełniacz. ""Filmy"" to niemęskoosobowe. Forma ""oba"" w dopełniaczu to obu.  🔑 Odmiana ""oba"" (niemęskoosobowe): • M: oba • D: obu • C: obu • B: oba • N: oboma / obu • Ms: obu  ❌ Dlaczego nie B: ""oba"" to mianownik/biernik. ❌ Dlaczego nie C: ""obydwa"" to mianownik/biernik. ❌ Dlaczego nie D: ""obydwóch"" — forma używana z męskoosobowymi (obydwóch kolegów), ale ""filmy"" to niemęskoosobowe — potrzebna forma ""obu/obydwu""."
"B1_LICZEBNIKI_029","Liczebniki główne — ""pięcioro"" odmiana w narzędniku","high","Pojechałem na wakacje z _______ dzieci.","A) pięcioro | B) pięciorgiem | C) pięcioma | D) pięciu","B","""Dzieci"" требует собирательного числительного. Предлог ""z"" требует narzędnika. Форма ""pięcioro"" в narzędniku — pięciorgiem.  🔑 Odmiana pięcioro: • M: pięcioro (dzieci) • D: pięciorga (dzieci) • C: pięciorgu (dzieciom) • B: pięcioro (dzieci) • N: pięciorgiem (dziećmi) • Ms: pięciorgu (dzieciach)  ❌ Почему не A: ""pięcioro"" — mianownik, но после ""z"" нужен narzędnik. ❌ Почему не C: ""pięcioma"" — narzędnik от ""pięć"", но с ""dzieci"" нужно собирательное. ❌ Почему не D: ""pięciu"" — форма для męskoosobowych, не для dzieci.","""Dzieci"" wymaga liczebnika zbiorowego. Przyimek ""z"" wymaga narzędnika. Forma ""pięcioro"" w narzędniku to pięciorgiem.  🔑 Odmiana pięcioro: • M: pięcioro • D: pięciorga • C: pięciorgu • B: pięcioro • N: pięciorgiem • Ms: pięciorgu  ❌ Dlaczego nie A: ""pięcioro"" to mianownik. ❌ Dlaczego nie C: ""pięcioma"" to narzędnik od ""pięć"" — z ""dzieci"" potrzebny zbiorowy. ❌ Dlaczego nie D: ""pięciu"" to forma męskoosobowa."
"B1_LICZEBNIKI_030","Liczebniki główne — ""osiemnaście"" vs ""osiemnastu"" + wiek","high","Moja córka ma _______ lat.","A) osiemnaście | B) osiemnastu | C) osiemnasty | D) osiemnastego","A","""Mieć ... lat"" — устойчивая конструкция. Числительное стоит в mianowniku/bierniku, а ""lat"" — в dopełniaczu мн.ч.  🔑 Конструкция mieć X lat: • Mam osiemnaście lat. (18) • Mam dwadzieścia jeden lat. (21) • Mam trzydzieści dwa lata. (32 — lata, не lat!)  ❌ Почему не B: ""osiemnastu"" — dopełniacz/miejscownik, но в ""mieć ... lat"" нужен mianownik. ❌ Почему не C: ""osiemnasty"" — порядковое (восемнадцатый), не количественное. ❌ Почему не D: ""osiemnastego"" — dopełniacz порядкового.  ⚠️ Ловушка: ""osiemnastu"" выглядит логично (как ""pięciu studentów""), но с ""lat"" используется mianownik!","""Mieć ... lat"" to stała konstrukcja. Liczebnik stoi w mianowniku/bierniku, a ""lat"" w dopełniaczu l.mn.  🔑 Konstrukcja mieć X lat: • Mam osiemnaście lat. (18) • Mam dwadzieścia jeden lat. (21) • Mam trzydzieści dwa lata. (32 — lata, nie lat!)  ❌ Dlaczego nie B: ""osiemnastu"" to dopełniacz/miejscownik — w ""mieć ... lat"" potrzebny mianownik. ❌ Dlaczego nie C: ""osiemnasty"" to porządkowy (osiemnasty), nie główny. ❌ Dlaczego nie D: ""osiemnastego"" to dopełniacz porządkowego.  💡 Pułapka: ""osiemnastu"" wygląda logicznie (jak ""pięciu studentów""), ale z ""lat"" używamy mianownika!"
"B1_TRANSFORMACJE_001","Transformacje — strona czynna → strona bierna","high","Zdanie ""Policja zatrzymała złodzieja"" można przekształcić na:","A) Złodziej został zatrzymany przez policję. | B) Złodziej był zatrzymany przez policję. | C) Złodziej zatrzymał się przez policję. | D) Złodzieja zatrzymała policja.","A","Трансформация из активного залога в пассивный: подлежащее становится дополнением с ""przez"", а дополнение — подлежащим. Для выражения завершённого действия в прошлом используется zostać + imiesłów bierny.  🔑 Strona bierna: • Действие завершённое → zostać + imiesłów: został zatrzymany • Состояние/результат → być + imiesłów: był zatrzymany (но это означает ""находился в состоянии задержания"")  ❌ Почему не B: ""był zatrzymany"" — описывает состояние, а не действие. Здесь нужно действие (zatrzymała → został zatrzymany). ❌ Почему не C: ""zatrzymał się"" — возвратный глагол, означает ""остановился сам"", не пассив. ❌ Почему не D: Это просто инверсия (OVS), а не пассивный залог.","Transformacja ze strony czynnej na bierną: podmiot staje się dopełnieniem z ""przez"", a dopełnienie — podmiotem. Dla wyrażenia czynności dokonanej w przeszłości używamy zostać + imiesłów bierny.  🔑 Strona bierna: • Czynność dokonana → zostać + imiesłów: został zatrzymany • Stan/rezultat → być + imiesłów: był zatrzymany (ale to oznacza ""znajdował się w stanie zatrzymania"")  ❌ Dlaczego nie B: ""był zatrzymany"" opisuje stan, nie czynność. ❌ Dlaczego nie C: ""zatrzymał się"" to czasownik zwrotny — ""sam się zatrzymał"". ❌ Dlaczego nie D: To tylko inwersja (OVS), nie strona bierna."
"B1_TRANSFORMACJE_002","Transformacje — mowa zależna (czas przeszły)","high","Marek powiedział wczoraj: ""Jutro pójdę do lekarza."" → Marek powiedział, że _______.","A) jutro pójdzie do lekarza | B) następnego dnia pójdzie do lekarza | C) jutro poszedł do lekarza | D) następnego dnia poszedłby do lekarza","B","В косвенной речи (mowa zależna) меняются указатели времени: ""jutro"" → następnego dnia. Время глагола остаётся будущим (pójdzie), так как в польском языке нет строгого правила согласования времён как в английском.  🔑 Изменения в mowa zależna: • jutro → następnego dnia • wczoraj → poprzedniego dnia / dzień wcześniej • dziś/dzisiaj → tego dnia / tamtego dnia • tu/tutaj → tam  ❌ Почему не A: Поскольку Марек говорил вчера, ""jutro"" уже прошло — нужно ""następnego dnia"". ❌ Почему не C: ""poszedł"" — прошедшее время, но действие планировалось на будущее. ❌ Почему не D: ""poszedłby"" — условное наклонение, здесь неуместно.","W mowie zależnej zmieniają się wskaźniki czasu: ""jutro"" → następnego dnia. Czas czasownika pozostaje przyszły (pójdzie).  🔑 Zmiany w mowie zależnej: • jutro → następnego dnia • wczoraj → poprzedniego dnia • dziś → tego/tamtego dnia • tu → tam  ❌ Dlaczego nie A: Skoro Marek mówił wczoraj, ""jutro"" już minęło — potrzebne ""następnego dnia"". ❌ Dlaczego nie C: ""poszedł"" to czas przeszły — czynność była planowana na przyszłość. ❌ Dlaczego nie D: ""poszedłby"" to tryb warunkowy — tu niepotrzebny."
"B1_TRANSFORMACJE_003","Transformacje — zdanie z ""musieć"" → zdanie z ""trzeba""","high","Zdanie ""Musisz to zrobić"" można przekształcić na:","A) Trzeba to zrobić. | B) Trzeba ci to zrobić. | C) Trzeba, żebyś to zrobił. | D) Trzeba tobie to zrobić.","C","""Musieć"" (личный глагол) → ""trzeba"" (безличная конструкция). При трансформации нужно сохранить указание на лицо. ""Trzeba"" + żeby + forma osobowa сохраняет информацию о том, КТО должен это сделать.  🔑 Trzeba + лицо: • Trzeba, żebym to zrobił. (ja) • Trzeba, żebyś to zrobił. (ty) • Trzeba, żeby on to zrobił. (on)  ❌ Почему не A: ""Trzeba to zrobić"" — теряется информация о лице (кто должен?). ❌ Почему не B: ""Trzeba ci to zrobić"" — неправильная конструкция (celownik здесь не работает). ❌ Почему не D: ""Trzeba tobie to zrobić"" — то же самое, неправильная конструкция.","""Musieć"" (czasownik osobowy) → ""trzeba"" (konstrukcja bezosobowa). Przy transformacji trzeba zachować wskazanie na osobę. ""Trzeba"" + żeby + forma osobowa zachowuje informację o tym, KTO ma to zrobić.  🔑 Trzeba + osoba: • Trzeba, żebym to zrobił. (ja) • Trzeba, żebyś to zrobił. (ty) • Trzeba, żeby on to zrobił. (on)  ❌ Dlaczego nie A: ""Trzeba to zrobić"" — gubi się informacja o osobie. ❌ Dlaczego nie B: ""Trzeba ci to zrobić"" — błędna konstrukcja. ❌ Dlaczego nie D: ""Trzeba tobie to zrobić"" — błędna konstrukcja."
"B1_TRANSFORMACJE_004","Transformacje — przeczenie z ""nikt"" / ""nic""","high","Zdanie ""Wszyscy przyszli na spotkanie"" w formie przeczącej to:","A) Wszyscy nie przyszli na spotkanie. | B) Nikt nie przyszedł na spotkanie. | C) Nie wszyscy przyszli na spotkanie. | D) Żaden nie przyszedł na spotkanie.","B","Полное отрицание ""wszyscy"" (все) → nikt (никто). Обратите внимание на двойное отрицание в польском: ""nikt NIE przyszedł"".  🔑 Антонимы при отрицании: • wszyscy → nikt (nie) • wszystko → nic (nie) • zawsze → nigdy (nie) • wszędzie → nigdzie (nie)  ❌ Почему не A: ""Wszyscy nie przyszli"" — грамматически неестественно, не используется. ❌ Почему не C: ""Nie wszyscy przyszli"" — означает ""не все пришли"" (частичное отрицание), а не полное. ❌ Почему не D: ""Żaden nie przyszedł"" — требует существительного: ""Żaden student nie przyszedł"".","Pełne zaprzeczenie ""wszyscy"" (wszyscy) → nikt (nikt). Uwaga na podwójne przeczenie: ""nikt NIE przyszedł"".  🔑 Antonimy przy przeczeniu: • wszyscy → nikt (nie) • wszystko → nic (nie) • zawsze → nigdy (nie) • wszędzie → nigdzie (nie)  ❌ Dlaczego nie A: ""Wszyscy nie przyszli"" — nienaturalne, nie używa się. ❌ Dlaczego nie C: ""Nie wszyscy przyszli"" — oznacza częściowe zaprzeczenie (""nie wszyscy""). ❌ Dlaczego nie D: ""Żaden nie przyszedł"" — wymaga rzeczownika: ""Żaden student nie przyszedł""."
"B1_TRANSFORMACJE_005","Transformacje — stopień wyższy → stopień najwyższy","high","Zdanie ""Jan jest wyższy od Piotra"" można przekształcić na zdanie ze stopniem najwyższym:","A) Jan jest najwyższy z Piotra. | B) Jan jest najwyższym z nich dwóch. | C) Jan jest wyższy najwyżej. | D) Jan jest najwyższy niż Piotr.","B","При трансформации из сравнительной степени в превосходную нужно указать группу сравнения. ""Z nich dwóch"" (из них двоих) — корректная конструкция.  🔑 Stopień najwyższy + группа: • najwyższy z + dopełniacz: najwyższy z nich, najwyższy z grupy • najwyższy w + miejscownik: najwyższy w klasie  ❌ Почему не A: ""z Piotra"" — неправильно, нужна группа, а не один человек. ❌ Почему не C: ""wyższy najwyżej"" — бессмысленная комбинация. ❌ Почему не D: ""najwyższy niż"" — после превосходной степени не используется ""niż"".","Przy transformacji ze stopnia wyższego na najwyższy trzeba wskazać grupę porównania. ""Z nich dwóch"" — poprawna konstrukcja.  🔑 Stopień najwyższy + grupa: • najwyższy z + dopełniacz: najwyższy z kolegów • najwyższy w + miejscownik: najwyższy w klasie  ❌ Dlaczego nie A: ""z Piotra"" — błędnie, potrzebna grupa, nie jedna osoba. ❌ Dlaczego nie C: ""wyższy najwyżej"" — bezsensowna kombinacja. ❌ Dlaczego nie D: ""najwyższy niż"" — po stopniu najwyższym nie używa się ""niż""."
"B1_TRANSFORMACJE_006","Transformacje — zdanie warunkowe realne → nierealne","high","Zdanie ""Jeśli będzie ładna pogoda, pójdziemy na spacer"" w formie nierealnej to:","A) Gdyby była ładna pogoda, poszlibyśmy na spacer. | B) Jeśliby była ładna pogoda, poszlibyśmy na spacer. | C) Gdyby będzie ładna pogoda, pójdziemy na spacer. | D) Jak była ładna pogoda, poszliśmy na spacer.","A","Реальное условие (jeśli + будущее) → нереальное условие (gdyby + tryb warunkowy). Это нереальное условие настоящего/будущего (гипотетическая ситуация).  🔑 Типы условных: • Реальное: Jeśli będzie..., pójdziemy... (возможно) • Нереальное (наст./буд.): Gdyby była..., poszlibyśmy... (гипотетически) • Нереальное (прошлое): Gdyby była..., bylibyśmy poszli... (несбывшееся)  ❌ Почему не B: ""Jeśliby"" — устаревшая/редкая форма, стандартно используется ""gdyby"". ❌ Почему не C: ""Gdyby będzie"" — смешение: gdyby требует trybu warunkowego, не будущего времени. ❌ Почему не D: ""Jak była..., poszliśmy"" — это реальное прошлое (факт), не нереальное условие.","Warunek realny (jeśli + przyszły) → warunek nierealny (gdyby + tryb warunkowy). To warunek nierealny teraźniejszy/przyszły (sytuacja hipotetyczna).  🔑 Typy warunków: • Realny: Jeśli będzie..., pójdziemy... (możliwe) • Nierealny (teraźn./przyszł.): Gdyby była..., poszlibyśmy... (hipotetycznie) • Nierealny (przeszły): Gdyby była..., bylibyśmy poszli... (niespełnione)  ❌ Dlaczego nie B: ""Jeśliby"" — forma archaiczna/rzadka, standardowo ""gdyby"". ❌ Dlaczego nie C: ""Gdyby będzie"" — mieszanie: gdyby wymaga trybu warunkowego. ❌ Dlaczego nie D: ""Jak była..., poszliśmy"" — to realna przeszłość (fakt), nie warunek nierealny."
